stop,pagerank
Avalahalli Nandi Garden,0.0005070208367476028
BEL Office,0.0005061023142608418
Kasthurinagara,0.0005052070879854624
Kempegowda Swimming Pool,0.0005052070879854624
Magadi Road TollGate,0.0005014681412618746
Nagarabhavi Circle,0.0005006568292865276
Jaraganahalli House Building Co-Op-Society Layout,0.0005001049809103068
Maratahalli,0.0004980753400337274
Dommasandra,0.0004942968006128683
Mukkodlu,0.0004942968006128683
Vidyanikethan Public School,0.0004935354486342357
Neelasandra,0.0004923454896307672
MTR,0.000489776796846832
Madiwala,0.0004841715257510095
BMTC Depot-6,0.00048199231946282706
Whitefield TTMC,0.0004816208728668968
NITTE Institute of Technology,0.00047720963634439344
Devasandra Chikkamaranahalli,0.0004757352422508625
St.John`s Wood Apartment,0.00047549521096065957
Gun Troops Officer Colony,0.0004750667831986518
Guruvanahalli,0.00047210642632349075
HUNASOORU,0.00047208783659530274
Bettana Palya,0.0004680353107351892
Hope Form,0.0004679223784462603
Marenahalli,0.00046624400452805034
KADUJAKKASANDRA,0.00046624400452805034
Bannerughatta Circle,0.00046624400452805034
Depot 22,0.000465573682149349
Yeshwanthapura New Railway Station,0.00046391377221079774
Bellandur Coffee Day,0.00046023629545928696
Jai Bharath Nagara,0.0004566156149992649
Handenahalli,0.00045576662098720916
Golden Enclave,0.0004549871968757372
Kempapura,0.00045439224516110265
JPNagar B K Circle,0.0004543568237775237
Shikaripalya,0.0004531637792297295
BHEL Concrode Layout,0.0004527452300290251
Nanjapura,0.00045021238070257305
Nisarga Badavane,0.00044999453291838585
Kothnuru Bagalur Road,0.0004497840065396324
Kodigehalli gate,0.0004497840065396324
Mylanahalli,0.00044931547081711494
Gejjagadahalli,0.00044931547081711494
Mallara Banavadi,0.00044931547081711494
Hoysala Circle Kengeri Satellite Town,0.00044925267999326236
GPO,0.00044811660932982567
Kempaiahanapalya,0.0004462080541758009
Kada Agrahara,0.0004456762067986499
Marasandra Bagalur,0.0004456762067986499
Atturu,0.0004456762067986499
Kallukunte Agrahara,0.0004456762067986499
Kadirenahalli Park,0.0004456762067986499
Muthkuru,0.0004456762067986499
Kadugodi Bapuji circle,0.0004456762067986499
Budigere,0.0004456762067986499
Kudlu,0.0004456762067986499
Somasundarapalya,0.0004456762067986499
Haralur,0.0004456762067986499
Banaswadi,0.0004456762067986499
Gollahalli,0.0004456762067986499
JP Nagara 1st Phase,0.0004456762067986499
H Tippunagar,0.0004456762067986499
NAGAGONDANAHALLI,0.0004456762067986499
Doddanekkundi,0.0004456762067986499
Upkar Residency Layout,0.0004456762067986499
Nayanappa Shettipalya,0.0004456762067986499
Srinivagilu,0.0004456762067986499
Nagaresha Nagenahalli Dinne,0.0004456762067986499
Ganakkal,0.0004456762067986499
Veerannapalya,0.0004456762067986499
Lal Bahadur Shastri Nagara,0.0004456762067986499
BHEL Layout Maramma Temple,0.0004456762067986499
Kenchanapura,0.0004456762067986499
Ramachandrpura,0.0004456762067986499
Vaddarahalli BMTC Training Centre,0.0004456762067986499
Vidhanasoudha Layout,0.0004456762067986499
Shanthinikethana Layout,0.0004456762067986499
Thigalara Palya,0.0004456762067986499
Kumaraswamy Layout 2nd Stage,0.0004456762067986499
Vigneshwara Nagara,0.0004456762067986499
KRS Gowda Layout,0.0004456762067986499
Anagalipura,0.0004456762067986499
Dodda Gubbi,0.0004456762067986499
Kamakya Talkies,0.00044534710466116994
